"","unique.cellid","CGP.cellid","CCLE.cellid","GSK.cellid","NCI60.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","NCI60.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Ben_Neel.tissueid","COSMIC.tissueid","unique.tissueid","CTRPv2.tissueid"
"886","HCC202","","HCC202","","","HCC202","HCC202","","HCC202","HCC202","HCC202","hcc202","HCC202","","breast","","","breast","Breast","","Breast","breast","","breast","breast","breast","breast"
"887","HCC2935","","HCC2935","","","","HCC2935","HCC2935","","HCC2935","","","HCC2935","","lung","","","","Lung","LUNG","","lung","","","lung","lung","lung"
"888","HCC364","","HCC364","","","","HCC364","","","","","",NA,"","lung","","","","Lung","","","","","","lung","lung",NA
"889","HCC4006","","HCC4006","","","","HCC4006","HCC4006","","HCC4006","","","HCC4006","","lung","","","","Lung","LUNG","","lung","","","lung","lung","lung"
"890","HCC827","","HCC827","","","","HCC827","HCC827","HCC-827","HCC827","HCC-827","","HCC827","","lung","","","","Lung","LUNG","Lung","lung","","","lung","lung","lung"
"891","HCT-8","","HCT-8","HCT8","","","HCT-8","HCT8","","","","","HCT8","","large_intestine","colon","","","Ileum","LARGE_INTESTINE","","","","","large_intestine","large_intestine","large_intestine"
"892","HDQ-P1","","HDQ-P1","","","HDQP1","","","HDQ-P1","HDQ-P1","HDQ-P1","hdqp1","HDQP1","","breast","","","breast","","","Breast","breast","","breast","breast","breast","breast"
"893","HEC-1-A","","HEC-1-A","HEC1A","","","HEC-1-A","","","HEC-1-A","","","HEC1A","","endometrium","uterus","","","Uterus","","","endometrium","","","endometrium","endometrium","endometrium"
"894","HEC-108","","HEC-108","","","","","HEC108","","HEC-108","","","HEC108","","endometrium","","","","","ENDOMETRIUM","","endometrium","","","endometrium","endometrium","endometrium"
"895","HEC-151","","HEC-151","","","","","HEC151","","HEC-151","","","HEC151","","endometrium","","","","","ENDOMETRIUM","","endometrium","","","endometrium","endometrium","endometrium"
"896","HEC-251","","HEC-251","","","","","HEC251","","HEC-251","","","HEC251","","endometrium","","","","","ENDOMETRIUM","","endometrium","","","endometrium","endometrium","endometrium"
"897","HEC-265","","HEC-265","","","","","HEC265","","HEC-265","","","HEC265","","endometrium","","","","","ENDOMETRIUM","","endometrium","","","endometrium","endometrium","endometrium"
"898","HEC-50B","","HEC-50B","","","","","","","HEC-50B","","","HEC50B","","endometrium","","","","","","","endometrium","","","endometrium","endometrium","endometrium"
"899","HEC-59","","HEC-59","","","","","HEC59","","HEC-59","","","HEC59","","endometrium","","","","","ENDOMETRIUM","","endometrium","","","endometrium","endometrium","endometrium"
"900","HEC-6","","HEC-6","","","","","HEC6","","HEC-6","","","HEC6","","endometrium","","","","","ENDOMETRIUM","","endometrium","","","endometrium","endometrium","endometrium"
"901","HEK TE","","HEK TE","","","","","","","","","",NA,"","kidney","","","","","","","","","","","kidney",NA
"902","HEL 92.1.7","","HEL 92.1.7","HEL9217","","","","","","HEL_92.1.7","","","HEL9217","","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"903","Hep 3B2.1-7","","Hep 3B2.1-7","HEP3B","","","","","Hep3B2-1-7","Hep_3B2.1-7","Hep_3B2_1-7","","HEP3B217","","liver","liver","","","","","Liver","liver","","","","liver","liver"
"904","Hep G2","","Hep G2","HEPG2","","","Hep G2","HEPG2","","Hep_G2","","","HEPG2","","liver","liver","","","Liver","LIVER","","liver","","","","liver","liver"
"905","Hey-A8","","Hey-A8","","","","","HEYA8","","Hey-A8","","","HEYA8","","ovary","","","","","OVARY","","ovary","","","ovary","ovary","ovary"
"906","HK-2","","HK-2","","","","","","","","","",NA,"","kidney","","","","","","","","","","","kidney",NA
"907","HLC-1","","HLC-1","","","","","","","","","",NA,"","lung","","","","","","","","","","lung","lung",NA
"908","HLF","","HLF","","","","","","","HLF","","","HLF","","liver","","","","","","","liver","","","liver","liver","liver"
"909","HLF-a","","HLF-a","","","","","","","HLF-a","","",NA,"","lung","","","","","","","lung","","","","lung",NA
"910","HMC-1-8","","HMC-1-8","","","","","","","HMC-1-8","","","HMC18","","breast","","","","","","","breast","","","","breast","breast"
"911","HMCB","","HMCB","HMCB","","","","","","HMCB","","","HMCB","","skin","skin","","","","","","skin","","","skin","skin","skin"
"912","HMEL","","HMEL","","","","","","","","","",NA,"","breast","","","","","","","","","","","breast",NA
"913","HPAC","","HPAC","HPAC","","","HPAC","HPAC","HPAC","HPAC","HPAC","","HPAC","","pancreas","pancreas","","","Pancreas","PANCREAS","Pancreas","pancreas","","","pancreas","pancreas","pancreas"
"914","HPB-ALL","","HPB-ALL","","","","","","","HPB-ALL","","","HPBALL","","haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"915","HRT-18","","HRT-18","","","","","","","","","",NA,"","large_intestine","","","","","","","","","","large_intestine","large_intestine",NA
"916","Hs 172.T","","Hs 172.T","","","","","","","Hs_172.T","","",NA,"","urinary_tract","","","","","","","urinary_tract","","","","urinary_tract",NA
"917","Hs 229.T","","Hs 229.T","","","","","","","Hs_229.T","","",NA,"","lung","","","","","","","lung","","","","lung",NA
"918","Hs 255.T","","Hs 255.T","","","","Hs 255.T","","","Hs_255.T","","",NA,"","large_intestine","","","","Colon","","","large_intestine","","","","large_intestine",NA
"919","Hs 274.T","","Hs 274.T","","","","","","","","","",NA,"","breast","","","","","","","","","","","breast",NA
"920","Hs 281.T","","Hs 281.T","","","","","","","Hs_281.T","","",NA,"","breast","","","","","","","breast","","","","breast",NA
"921","Hs 294T","","Hs 294T","","","","Hs 294T","","","Hs_294T","","","HS294T","","skin","","","","Skin","","","skin","","","","skin","skin"
"922","Hs 343.T","","Hs 343.T","","","","","","","Hs_343.T","","",NA,"","breast","","","","","","","breast","","","","breast",NA
"923","Hs 571.T","","Hs 571.T","","","","","","","","","",NA,"","ovary","","","","","","","","","","","ovary",NA
"924","Hs 600.T","","Hs 600.T","","","","","","","Hs_600.T","","",NA,"","skin","","","","","","","skin","","","","skin",NA
"925","Hs 604.T","","Hs 604.T","","","","","","","","","",NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","","","","","haematopoietic_and_lymphoid_tissue",NA
"926","Hs 606.T","","Hs 606.T","","","","","","","Hs_606.T","","",NA,"","breast","","","","","","","breast","","","","breast",NA
"927","Hs 611.T","","Hs 611.T","","","","","","","Hs_611.T","","","HS611T","","haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"928","Hs 616.T","","Hs 616.T","","","","","","","Hs_616.T","","",NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue",NA
"929","Hs 618.T","","Hs 618.T","","","","","","","Hs_618.T","","",NA,"","lung","","","","","","","lung","","","","lung",NA
"930","Hs 675.T","","Hs 675.T","","","","Hs 675.T","","","Hs_675.T","","",NA,"","large_intestine","","","","Colon","","","large_intestine","","","","large_intestine",NA
"931","Hs 683","","Hs 683","","","","Hs 683","","Hs-683","Hs_683","","","HS683","","central_nervous_system","","","","Brain","","Brain","central_nervous_system","","","","central_nervous_system","central_nervous_system"
"932","Hs 688(A).T","","Hs 688(A).T","","","","","","","Hs_688_A_.T","","","HS688AT","","skin","","","","","","","skin","","","","skin","skin"
"933","Hs 695T","","Hs 695T","","","","Hs 695T","","","Hs_695T","","",NA,"","skin","","","","Skin","","","skin","","","","skin",NA
"934","Hs 698.T","","Hs 698.T","","","","","","","Hs_698.T","","",NA,"","large_intestine","","","","","","","large_intestine","","","","large_intestine",NA
"935","Hs 706.T","","Hs 706.T","","","","","","","Hs_706.T","","",NA,"","bone","","","","","","","bone","","","","bone",NA
"936","Hs 729","","Hs 729","","","","","","","Hs_729","","","HS729","","soft_tissue","","","","","","","soft_tissue","","","","soft_tissue","soft_tissue"
"937","Hs 737.T","","Hs 737.T","","","","","","","Hs_737.T","","",NA,"","bone","","","","","","","bone","","","","bone",NA
"938","Hs 739.T","","Hs 739.T","","","","","","","Hs_739.T","","",NA,"","breast","","","","","","","breast","","","","breast",NA
"939","Hs 742.T","","Hs 742.T","","","","","","","Hs_742.T","","",NA,"","breast","","","","","","","breast","","","","breast",NA
"940","Hs 746T","","Hs 746T","HS746T","","","Hs 746T","","Hs746T","Hs_746T","Hs746T","","HS746T","","stomach","stomach","","","Stomach","","Stomach","stomach","","","","stomach","stomach"
"941","Hs 751.T","","Hs 751.T","","","","","","","","","",NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","","","","","haematopoietic_and_lymphoid_tissue",NA
"942","Hs 766T","","Hs 766T","","","","Hs 766T","","Hs-766T","Hs_766T","Hs766T","","HS766T","","pancreas","","","","Pancreas","","Pancreas","pancreas","","","","pancreas","pancreas"
"943","Hs 819.T","","Hs 819.T","","","","","","","Hs_819.T","","",NA,"","bone","","","","","","","bone","","","","bone",NA
"944","Hs 821.T","","Hs 821.T","","","","","","","Hs_821.T","","",NA,"","bone","","","","","","","bone","","","","bone",NA
"945","Hs 822.T","","Hs 822.T","","","","","","","Hs_822.T","","","HS822T","","bone","","","","","","","bone","","","","bone","bone"
"946","Hs 834.T","","Hs 834.T","","","","","","","Hs_834.T","","",NA,"","skin","","","","","","","skin","","","","skin",NA
"947","Hs 839.T","","Hs 839.T","","","","Hs 839.T","","","Hs_839.T","","","HS839T","","skin","","","","Skin","","","skin","","","","skin","skin"
"948","Hs 840.T","","Hs 840.T","","","","","","","Hs_840.T","","",NA,"","upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","","","upper_aerodigestive_tract",NA
"949","Hs 852.T","","Hs 852.T","","","","Hs 852.T","HS852T","","Hs_852.T","","","HS852T","","skin","","","","Skin","SKIN","","skin","","","","skin","skin"
"950","Hs 863.T","","Hs 863.T","","","","","","","Hs_863.T","","",NA,"","bone","","","","","","","bone","","","","bone",NA
"951","Hs 870.T","","Hs 870.T","","","","","","","Hs_870.T","","",NA,"","bone","","","","","","","bone","","","","bone",NA
"952","Hs 888.T","","Hs 888.T","","","","","","","Hs_888.T","","","HS888T","","bone","","","","","","","bone","","","","bone","bone"
"953","Hs 895.T","","Hs 895.T","","","","Hs 895.T","","","Hs_895.T","","","HS895T","","skin","","","","Skin","","","skin","","","","skin","skin"
"954","Hs 934.T","","Hs 934.T","","","","","","","Hs_934.T","","","HS934T","","skin","","","","","","","skin","","","","skin","skin"
"955","Hs 936.T","","Hs 936.T","","","","Hs 936.T","HS936T","","Hs_936.T","","","HS936T","","skin","","","","Skin","SKIN","","skin","","","","skin","skin"
"956","Hs 939.T","","Hs 939.T","","","","","","","Hs_939.T","Hs939-T","",NA,"","skin","","","","","","","skin","","","","skin",NA
"957","Hs 940.T","","Hs 940.T","","","","Hs 940.T","","Hs-940-T","Hs_940.T","Hs940-T","","HS940T","","skin","","","","Skin","","Skin","skin","","","","skin","skin"
"958","Hs 944.T","","Hs 944.T","","","","","HS944T","Hs-944-T","Hs_944.T","","","HS944T","","skin","","","","","SKIN","Skin","skin","","","","skin","skin"
"959","HT-115","","HT115","","","","HT-115","HT115","HT-115","HT115","HT-115","","HT115","","large_intestine","","","","Colon","LARGE_INTESTINE","Intestine","large_intestine","","","","large_intestine","large_intestine"
"960","HTK-","","HTK-","","","","","","","","","",NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","","","","","haematopoietic_and_lymphoid_tissue",NA
"961","HuG1-N","","HuG1-N","","","","","","","HuG1-N","","","HUG1N","","stomach","","","","","","","stomach","","","","stomach","stomach"
"962","huH-1","","huH-1","","","","huH-1","","huH-1","huH-1","huH-1","","HUH1","","liver","","","","Liver","","Liver","liver","","","","liver","liver"
"963","HuT 102","","HuT 102","","","","","","","HuT_102","","",NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue",NA
"964","HuT 78","","HuT 78","HUT78","","","","","","HuT_78","","","HUT78","","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"965","IGR-37","","IGR-37","","","","IGR-37","","IGR-37","IGR-37","IGR-37","","IGR37","","skin","","","","Skin","","Skin","skin","","","skin","skin","skin"
"966","IGR-39","","IGR-39","","","","","","","","","","IGR39","","skin","","","","","","","","","","skin","skin","skin"
"967","IM-95","","IM95","","","","IM-95","","IM-95","IM95","IM-95","","IM95","","stomach","","","","Stomach","","Stomach","stomach","","","stomach","stomach","stomach"
"968","IMR-32","","IMR-32","","","","IMR-32","","","IMR-32","","","IMR32","","autonomic_ganglia","","","","Brain","","","autonomic_ganglia","","","autonomic_ganglia","autonomic_ganglia","autonomic_ganglia"
"969","IOMM-Lee","","IOMM-Lee","","","","","","","","","",NA,"","central_nervous_system","","","","","","","","","","","central_nervous_system",NA
"970","Ishikawa (Heraklio) 02 ER-","","Ishikawa (Heraklio) 02 ER-","","","","","ISHIKAWAHERAKLIO02ER","Ishikawa_Heraklio_02ER-","Ishikawa__Heraklio__02_ER-","Ishikawa_Heraklio_02ER-","","ISHIKAWAHERAKLIO02ER","","endometrium","","","","","ENDOMETRIUM","Heraklio_02ER-_Uterus","endometrium","","","","endometrium","endometrium"
"971","IST-MES2","","IST-MES2","","","","","","","IST-MES2","","",NA,"","pleura","","","","","","","pleura","","","","pleura",NA
"972","JeKo-1","","JeKo-1","","","","JEKO-1","","JEKO-1","JeKo-1","JEKO-1","","JEKO1","","haematopoietic_and_lymphoid_tissue","","","","Lymph Node","","Blood","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"973","JH-EsoAd1","","JH-EsoAd1","","","","","","","","","",NA,"","oesophagus","","","","","","","","","","oesophagus","oesophagus",NA
"974","JHH-1","","JHH-1","","","","JHH-1","","JHH-1","JHH-1","JHH-1","","JHH1","","liver","","","","Liver","","Liver","liver","","","liver","liver","liver"
"975","JHH-2","","JHH-2","","","","JHH-2","","JHH-2","JHH-2","","","JHH2","","liver","","","","Liver","","Liver","liver","","","liver","liver","liver"
"976","JHH-4","","JHH-4","","","","JHH-4","","JHH-4","JHH-4","","","JHH4","","liver","","","","Liver","","Liver","liver","","","liver","liver","liver"
